id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
608,"Seso, Bien me sabe",Arbol,Juvenil,1.3,0,0.13,0.13,0.35,0.48,3,5,2,0,0,3,0,0,0,"Bajo (0 - 33%)",Muerto,873193,1057260
609,"Seso, Bien me sabe",Arbol,Juvenil,0.9,0,0.14,0.14,0.35,0.52,2,4,2,0,0,2,0,0,0,"Bajo (0 - 33%)",Muerto,873195,1057250
610,Arrayan,Arbol,Maduro,1.1,0,0.11,0.11,0.3,0.37,3,7,4,5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873194,1057250
611,Arrayan,Arbol,Maduro,0.6,0,0.1,0.1,0.25,0.4,3,5,2,8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873195,1057250
612,"Chirlobirlo, Floramarillo",Arbusto,Longevo,0.65,0.32,0.1,0.1,0,0,3,6,3,7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873196,1057240
613,"Laurel blanco, Laurel Jigua, Laurel colorado y amarillo",Arbol,Maduro,0.4,0.32,0.1,0.1,0,0,3,7,4,5,0,1,0,0,0,"Alto (67 - 100%)",Sano,873196,1057240
614,"Palo blanco",Arbol,Maduro,1.2,0,0.1,0.1,0.28,0.35,3,6,3,6.8,0,2,0,0,0,"Medio (34 - 66%)",Regular,873200,1057250
615,"Palo blanco",Arbol,Juvenil,0.32,0.25,0.08,0.08,0,0,2,4,2,3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873196,1057250
616,"Aliso de rio, Sauce playero",Arbol,Maduro,2.3,0,0.09,0.09,0.2,0.38,3,6,3,9.5,0,9,0,0,0,"Medio (34 - 66%)",Regular,873197,1057250
617,"Chirlobirlo, Floramarillo",Arbusto,Maduro,0.8,0,0.07,0.07,0.18,0.25,3.5,5,1.5,6.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873193,1057250
618,"Chagualo, Cucharo",Arbol,Maduro,0.6,0,0.15,0.15,0.47,0.48,3,6,3,4.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873192,1057240
619,"Seso, Bien me sabe",Arbol,Maduro,0.95,0,0.1,0.1,0.25,0.36,2,4,2,0,0,3,0,0,0,"Bajo (0 - 33%)",Muerto,873190,1057240
620,Gualanday,Arbol,Maduro,0.83,0,0.08,0.08,0.13,0.35,3,5.5,2.5,4.8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873198,1057220
621,"Seso, Bien me sabe",Arbol,Maduro,0.8,0.6,0.19,0.19,0,0,3,5,2,0,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873194,1057220
622,Chiminango,Arbol,Maduro,3.5,0,0.41,0.41,0.85,1.7,7,13,6,18.6,0,4,0,0,0,"Medio (34 - 66%)",Regular,873195,1057210
623,Chiminango,Arbol,Maduro,1.85,0,0.16,0.16,0.48,0.55,5,8,3,10.5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873194,1057200
624,"Dracaena roja","Planta arbustiva",Maduro,0.3,0,0.04,0.04,0.11,0.13,0.4,2.6,2.2,1,0,2,0,0,0,"Alto (67 - 100%)",Regular,873368,1056880
625,"Chambimbe, Jaboncillo",Arbol,Maduro,1.15,1.06,0.34,0.34,0,0,3.9,8.3,4.4,14,0,1,0,0,0,"Alto (67 - 100%)",Regular,873266,1057070
626,"Orejero, Pinon de oreja",Arbol,Maduro,2,0,0.13,0.13,0.38,0.43,4,7,3,6.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873196,1057190
627,"Orejero, Pinon de oreja",Arbol,Maduro,0.62,0.45,0.14,0.14,0,0,4,8,4,7.7,0,1,0,0,0,"Alto (67 - 100%)",Regular,873202,1057190
628,Leucaena,Arbol,Maduro,0.32,0,0.07,0.07,0.2,0.22,1.5,3.5,2,2,0,3,0,0,0,"Alto (67 - 100%)",Regular,873204,1057180
629,"Lecherito, Lechero rojo, Manzanillo de cerca",Arbusto,Maduro,0.22,0.25,0.08,0.08,0,0,0.7,1.9,1.2,1.2,0,1,0,0,0,"Medio (34 - 66%)",Regular,873210,1057220
630,"Palo blanco",Arbol,Maduro,0.7,0,0.12,0.12,0.35,0.43,2,5,3,7,0,2,0,0,0,"Medio (34 - 66%)",Regular,873212,1057220
631,Arrayan,Arbol,Maduro,0.3,0.2,0.06,0.06,0,0,3,4.2,1.2,1.8,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873213,1057220
632,Gualanday,Arbol,Maduro,0.37,0.32,0.1,0.1,0,0,3,5,2,3,0,1,0,0,0,"Medio (34 - 66%)",Regular,873214,1057220
633,Gualanday,Arbol,Maduro,0.87,0,0.14,0.14,0.28,0.57,4,8,4,9,0,2,0,0,0,"Alto (67 - 100%)",Regular,873216,1057210
634,"Seso, Bien me sabe",Arbol,Longevo,0.38,0.27,0.09,0.09,0,0,2,3.7,1.7,0,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873217,1057220
635,Aguacate,Arbol,Maduro,1,0.92,0.29,0.29,0,0,5,8,3,7.6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873215,1057210
636,"Palo blanco",Arbol,Maduro,0.86,0,0.1,0.1,0.25,0.36,4,7,3,6.4,0,3,0,0,0,"Medio (34 - 66%)",Regular,873216,1057220
637,Guacimo,Arbol,Maduro,2.8,0,0.21,0.21,0.5,0.85,6,10,4,13,0,6,0,0,0,"Alto (67 - 100%)",Regular,873217,1057220
638,"Palo blanco",Arbol,Juvenil,1.3,0,0.27,0.27,0.43,1.25,5,8,3,7,0,6,0,0,0,"Medio (34 - 66%)",Regular,873218,1057210
639,Arrayan,Arbol,Juvenil,1.15,0,0.08,0.08,0.23,0.3,4,7,3,6.2,0,4,0,0,0,"Medio (34 - 66%)",Regular,873222,1057210
640,"Palo blanco",Arbol,Maduro,0.95,0.55,0.18,0.18,0,0,3,7,4,4.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873222,1057220
641,Gualanday,Arbol,Juvenil,0.7,0,0.21,0.21,0.45,0.85,4,9,5,11,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873221,1057220
642,Caucho,Arbol,Juvenil,0.48,0,0.09,0.09,0.25,0.32,3,6,3,5,0,3,0,0,0,"Medio (34 - 66%)",Sano,873224,1057210
643,Chiminango,Arbol,Juvenil,2.7,0,0.37,0.37,0.5,1.8,7,12,5,10.5,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873226,1057210
644,"Palo blanco",Arbol,Maduro,0.88,0,0.1,0.1,0.2,0.42,4,8,4,5,0,3,0,0,0,"Medio (34 - 66%)",Regular,873229,1057220
645,Guacimo,Arbol,Maduro,1.1,0,0.15,0.15,0.25,0.72,5,9,4,8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873224,1057220
646,"Palo blanco",Arbol,Maduro,1.8,0,0.16,0.16,0.22,0.8,4,8,4,10.5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873223,1057220
647,Gualanday,Arbol,Maduro,0.38,0.25,0.08,0.08,0,0,3,6,3,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873219,1057220
648,Arrayan,Arbol,Maduro,0.58,0.45,0.14,0.14,0,0,2,4.5,2.5,8.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873220,1057220
649,"Palo blanco",Arbol,Juvenil,0.75,0,0.09,0.09,0.21,0.38,4,7,3,5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873221,1057220
650,"Palo blanco",Arbol,Juvenil,0.58,0.47,0.15,0.15,0,0,2.3,5,2.7,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873222,1057220
651,"Palo blanco",Arbol,Juvenil,1.2,0,0.18,0.18,0.32,0.78,3,7,4,11,0,3,0,0,0,"Medio (34 - 66%)",Regular,873228,1057230
652,Guacimo,Arbol,Maduro,1.34,0,0.3,0.3,0.8,1.1,2.3,5,2.7,12,0,2,0,0,0,"Medio (34 - 66%)",Regular,873226,1057230
653,"Seso, Bien me sabe",Arbol,Juvenil,2.35,1.85,0.59,0.59,0,0,7,11,4,0,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873232,1057230
654,Guacimo,Arbol,Maduro,2.5,0,0.31,0.31,0.45,1.5,4,9,5,14,0,7,0,0,0,"Alto (67 - 100%)",Regular,873234,1057220
655,"Palo blanco",Arbol,Maduro,2.6,0,0.24,0.24,0.4,1.1,4,8,4,12.6,0,6,0,0,0,"Medio (34 - 66%)",Regular,873227,1057210
656,"Chambimbe, Jaboncillo",Arbol,Maduro,1.8,0,0.28,0.28,0.6,1.15,6,10,4,14,0,2,0,0,0,"Alto (67 - 100%)",Sano,873237,1057220
657,"Palo blanco",Arbol,Maduro,1.4,0,0.12,0.12,0.35,0.42,3,5,2,4.7,0,4,0,0,0,"Medio (34 - 66%)",Regular,873236,1057230
658,Guacimo,Arbol,Maduro,1.45,0,0.24,0.24,0.6,0.92,3,6,3,8,0,3,0,0,0,"Medio (34 - 66%)",Regular,873242,1057230
659,Guacimo,Arbol,Maduro,1.38,0,0.22,0.22,0.42,0.98,4,8,4,11,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873242,1057230
660,"Chambimbe, Jaboncillo",Arbol,Maduro,1.15,0.95,0.3,0.3,0,0,5,9,4,13.2,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873239,1057220
661,"Palo blanco",Arbol,Maduro,0.6,0,0.14,0.14,0.4,0.45,2,3,1,2,0,2,0,0,0,"Medio (34 - 66%)",Regular,873240,1057220
662,Guacimo,Arbol,Maduro,2.1,0,0.33,0.33,0.5,1.6,5,10,5,12.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873243,1057210
663,"Palo blanco",Arbol,Maduro,0.86,0,0.1,0.1,0.3,0.35,2,4.6,2.6,5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873244,1057220
664,"Palo blanco",Arbol,Maduro,0.6,0,0.14,0.14,0.4,0.45,2,3,1,2,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873244,1057230
665,"Palo blanco",Arbol,Maduro,0.56,0.5,0.16,0.16,0,0,3,7.5,4.5,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873231,1057200
666,Guacimo,Arbol,Juvenil,1.82,0,0.24,0.24,0.37,1.15,6,10,4,12,0,4,0,0,0,"Alto (67 - 100%)",Regular,873235,1057190
667,"Palo blanco",Arbol,Maduro,1.3,0,0.11,0.11,0.28,0.38,3,6,3,9.5,0,4,0,0,0,"Medio (34 - 66%)",Regular,873233,1057190
668,"Palo blanco",Arbol,Maduro,1.2,0.6,0.19,0.19,0,0,3,6,3,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873234,1057190
669,Guacimo,Arbol,Maduro,1.1,1,0.32,0.32,0,0,6,10,4,11.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873231,1057190
670,"Palo blanco",Arbol,Maduro,0.77,0,0.13,0.13,0.36,0.44,3,7,4,7.7,0,2,0,0,0,"Alto (67 - 100%)",Regular,873231,1057190
671,"Palo blanco",Arbol,Maduro,0.52,0.48,0.15,0.15,0,0,3,6,3,8.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873238,1057180
672,Mango,Arbol,Maduro,1.7,1.4,0.45,0.45,0,0,4,6.5,2.5,6.4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873374,1057080
673,Cipres,Arbol,Maduro,0.45,0,0.08,0.08,0.2,0.3,1,2.4,1.4,2.2,0,3,0,0,0,"Alto (67 - 100%)",Sano,873380,1057090
674,Aguacate,Arbol,Maduro,0.42,0.28,0.09,0.09,0,0,1.7,3,1.3,4.2,0,1,0,0,0,"Alto (67 - 100%)",Regular,873414,1057080
675,"Palma botella, Palma imperial, Mapora",Palma,Maduro,0.73,0.41,0.13,0.13,0,0,1.6,3,1.4,2.8,0,1,0,0,0,"Medio (34 - 66%)",Sano,873545,1057050
676,"Palma areca",Palma,Maduro,0.5,0.4,0.13,0.13,0,0,3.5,5,1.5,3.5,0,1,0,0,0,"Bajo (0 - 33%)",Sano,873554,1056950
677,Almendro,Arbol,Maduro,0.91,0.85,0.27,0.27,0,0,3.8,5.6,1.8,9.4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873562,1056920
678,Almendro,Arbol,Juvenil,0.9,0,0.14,0.14,0.37,0.5,3,5,2,3.5,0,3,0,0,0,"Alto (67 - 100%)",Regular,873565,1056900
679,"Acacia robinia",Arbol,Maduro,1.7,0.85,0.27,0.27,0,0,3.5,6.5,3,9.2,0,1,0,0,0,"Alto (67 - 100%)",Regular,873573,1056840
680,Mango,Arbol,Maduro,1.1,0.85,0.27,0.27,0,0,3.5,7,3.5,8.3,0,1,0,0,0,"Alto (67 - 100%)",Regular,873577,1056830
681,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,0.4,0,0.07,0.07,0.17,0.25,1.7,2.5,0.8,2.1,0,5,0,0,0,"Medio (34 - 66%)",Regular,873583,1056810
682,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,0.6,0,0.07,0.07,0.17,0.25,1.6,2.5,0.9,2.2,0,7,0,0,0,"Medio (34 - 66%)",Regular,873578,1056800
683,Araucaria,Arbol,Juvenil,0.8,0.68,0.22,0.22,0,0,5,8,3,5,0,1,0,0,0,"Alto (67 - 100%)",Sano,873580,1056780
684,"Dracaena roja","Planta arbustiva",Maduro,0.58,0,0.07,0.07,0.17,0.26,2,4,2,1.4,0,4,0,0,0,"Medio (34 - 66%)",Sano,873589,1056760
685,"Limon swinglea, Swinglea",Arbol,Maduro,1.1,0.6,0.19,0.19,0,0,1.7,3.2,1.5,2.8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873588,1056760
686,"Acacia robinia",Arbol,Maduro,1.1,1,0.32,0.32,0,0,4,6.5,2.5,11.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873602,1056660
687,"Ficus benjamina, Caucho benjamin",Arbol,Maduro,1.3,1.15,0.37,0.37,0,0,7,12,5,11.8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873605,1056630
688,"Seso, Bien me sabe",Arbol,Juvenil,1.2,0.85,0.27,0.27,0,0,2,4,2,0,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873610,1056630
689,"Palma areca",Palma,Longevo,1.4,0,0.11,0.11,0.32,0.35,3,6,3,5.5,0,4,0,0,0,"Bajo (0 - 33%)",Regular,873607,1056620
690,Mango,Arbol,Maduro,1.45,1.2,0.38,0.38,0,0,4,6.5,2.5,9.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873613,1056610
691,"Acacia robinia",Arbol,Maduro,0.5,0,0.09,0.09,0.25,0.31,2,4,2,5.6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873608,1056620
692,Mango,Arbol,Maduro,1.41,0.83,0.26,0.26,0,0,2,4,2,2.22,0,1,0,0,0,"Medio (34 - 66%)",Regular,873611,1056600
693,"Arrayan cerezo",Arbusto,Maduro,1.1,0,0.07,0.07,0.18,0.23,2.3,3.5,1.2,2.5,0,5,0,0,0,"Medio (34 - 66%)",Regular,873888,1056350
694,"Palma areca",Palma,Maduro,1.1,0,0.09,0.09,0.18,0.37,1.5,3.2,1.7,4.22,0,3,0,0,0,"Medio (34 - 66%)",Sano,873887,1056340
695,Guanabano,Arbol,Maduro,1,0.76,0.24,0.24,0,0,4,8,4,8.4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873900,1056310
696,"Sauce Costeno, Bohio",Arbol,Juvenil,0.95,0.41,0.13,0.13,0,0,2,4,2,5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873944,1056340
697,"Ficus ovalis, Caucho ovalis",Arbol,Maduro,0.38,0,0.07,0.07,0.2,0.24,2,4.3,2.3,2.5,0,2,0,0,0,"Medio (34 - 66%)",Sano,873945,1056330
698,"Tulipan africano",Arbol,Maduro,0.83,0.58,0.18,0.18,0,0,2.3,4.5,2.2,6.5,0,1,0,0,0,"Medio (34 - 66%)",Sano,873970,1056340
699,Guacimo,Arbol,Maduro,0.55,0,0.09,0.09,0.23,0.32,2,4.1,2.1,4.2,0,2,0,0,0,"Alto (67 - 100%)",Sano,873976,1056340
700,"Ficus variegado",Arbol,Maduro,2.25,2.07,0.66,0.66,0,0,8,14,6,17,0,1,0,0,0,"Alto (67 - 100%)",Regular,873977,1056330
701,"Guadua amarilla, Bambu amarillo, Bambu",Bambu,Juvenil,0,0.14,0.04,0.04,0,0,3,6,3,6,0,1,0,0,0,"Alto (67 - 100%)",Sano,873975,1056320
702,Chiminango,Arbol,Juvenil,1.15,0.83,0.26,0.26,0,0,4,9,5,7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873914,1056330
703,Limon,Arbusto,Juvenil,0.85,0,0.11,0.11,0.34,0.35,2,3.5,1.5,5,0,3,0,0,0,"Alto (67 - 100%)",Regular,873912,1056340
704,"Cojon de cabrito, Pepa de cabra, Cajeto, Enebro",Arbusto,Maduro,0.42,0,0.06,0.06,0.13,0.24,2,3.5,1.5,5.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873907,1056350
705,Guanabano,Arbol,Longevo,1.05,0.83,0.26,0.26,0,0,3.5,5.5,2,5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873721,1056350
706,Matarraton,Arbol,Maduro,1.7,0,0.27,0.27,0.8,0.92,3,9,6,14,0,2,0,0,0,"Bajo (0 - 33%)",Regular,873890,1056340
707,Matarraton,Arbol,Maduro,0.64,0.45,0.14,0.14,0,0,2.5,8,5.5,7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873902,1056330
708,Chiminango,Arbol,Maduro,1.72,1.52,0.48,0.48,0,0,3.5,8,4.5,17,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873912,1056320
709,Chiminango,Arbol,Maduro,1.4,1.38,0.44,0.44,0,0,3.5,8,4.5,15,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873912,1056320
710,Guayabo,Arbusto,Maduro,0.39,0,0.09,0.09,0.24,0.3,0.8,3.5,2.7,4.5,0,2,0,0,0,"Medio (34 - 66%)",Regular,873912,1056320
711,"Friega platos",Arbusto,Maduro,0.48,0.28,0.09,0.09,0,0,2.5,6.5,4,7.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873908,1056320
712,Limon,Arbusto,Maduro,0.35,0,0.06,0.06,0.14,0.23,1,4.5,3.5,3,0,2,0,0,0,"Medio (34 - 66%)",Regular,873906,1056320
713,"Palo blanco",Arbol,Juvenil,0.72,0.34,0.11,0.11,0,0,2,6,4,7,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873906,1056330
714,"Palo blanco",Arbol,Juvenil,0.76,0.45,0.14,0.14,0,0,2,7,5,7,0,1,0,0,0,"Medio (34 - 66%)",Regular,873906,1056330
715,"Palo blanco",Arbol,Maduro,0.52,0.36,0.11,0.11,0,0,3,8,5,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873908,1056330
716,"Palo blanco",Arbol,Maduro,0.67,0.36,0.11,0.11,0,0,3,8,5,6,0,1,0,0,0,"Medio (34 - 66%)",Regular,873908,1056340
717,Guacimo,Arbol,Juvenil,1.57,1.53,0.49,0.49,0,0,3.2,4.5,1.3,6,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873277,1056890
718,Guacimo,Arbol,Maduro,1.2,0,0.17,0.17,0.35,0.69,3,5,2,6,0,3,0,0,0,"Bajo (0 - 33%)",Regular,873250,1056820
719,Matarraton,Arbol,Maduro,1.09,1.07,0.34,0.34,0,0,4.5,8,3.5,10,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873250,1056820
720,Guacimo,Arbol,Maduro,2.4,0,0.26,0.26,0.28,1.33,4,8,4,16,0,4,0,0,0,"Alto (67 - 100%)",Regular,873388,1056790
721,"Cedro macho",Arbol,Maduro,0.7,0.46,0.15,0.15,0,0,3.5,6.5,3,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873391,1056790
722,Guacimo,Arbol,Maduro,1.02,0.73,0.23,0.23,0,0,4.5,7,2.5,10,0,1,0,0,0,"Medio (34 - 66%)",Regular,873384,1056780
723,"Cedro macho",Arbol,Juvenil,0.52,0.36,0.11,0.11,0,0,4,7,3,6,0,1,0,0,0,"Alto (67 - 100%)",Sano,873382,1056780
724,"Cedro macho",Arbol,Juvenil,0.53,0,0.08,0.08,0.13,0.35,2,5,3,6,0,2,0,0,0,"Medio (34 - 66%)",Sano,873380,1056790
725,"Palma de yuca",Palma,Maduro,0.27,0.18,0.06,0.06,0,0,2.5,3.5,1,1.2,0,1,0,0,0,"Medio (34 - 66%)",Sano,873375,1056790
726,"Palma de yuca",Palma,Maduro,0.39,0.2,0.06,0.06,0,0,3,4.5,1.5,1.2,0,1,0,0,0,"Alto (67 - 100%)",Sano,873376,1056790
727,"Palma de yuca",Palma,Maduro,0.56,0.27,0.09,0.09,0,0,4.5,5.5,1,1.2,0,1,0,0,0,"Alto (67 - 100%)",Sano,873375,1056790
728,"Cedro macho",Arbol,Maduro,1.32,0,0.22,0.22,0.67,0.73,4.5,9.5,5,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873378,1056790
729,"Palma de yuca",Palma,Maduro,0.58,0,0.07,0.07,0.18,0.27,0.6,4.5,3.9,4,0,2,0,0,0,"Alto (67 - 100%)",Sano,873374,1056800
730,"Cedro macho",Arbol,Maduro,0.5,0.38,0.12,0.12,0,0,2.3,6.5,4.2,6,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873369,1056800
731,"Seso, Bien me sabe",Arbol,Maduro,0.26,0,0.06,0.06,0.15,0.21,2,4.5,2.5,3,0,2,0,0,0,"Alto (67 - 100%)",Sano,873374,1056800
732,"Seso, Bien me sabe",Arbol,Juvenil,0.24,0.2,0.06,0.06,0,0,2.1,4,1.9,3,0,1,0,0,0,"Alto (67 - 100%)",Sano,873375,1056800
733,Aguacate,Arbol,Juvenil,0.37,0.23,0.07,0.07,0,0,1.3,2.5,1.2,2.5,0,1,0,0,0,"Alto (67 - 100%)",Regular,873376,1056800
734,Aguacate,Arbol,Maduro,0.55,0.4,0.13,0.13,0,0,2.3,5.5,3.2,6,0,1,0,0,0,"Alto (67 - 100%)",Regular,873379,1056800
735,Guacimo,Arbol,Maduro,1.38,0,0.25,0.25,0.79,0.8,4.5,7,2.5,14,0,2,0,0,0,"Alto (67 - 100%)",Regular,873365,1056800
736,Guacimo,Arbol,Juvenil,1.45,0,0.17,0.17,0.43,0.65,4.5,7,2.5,10,0,2,0,0,0,"Alto (67 - 100%)",Regular,873360,1056800
737,Guanabano,Arbol,Juvenil,1.15,1.04,0.33,0.33,0,0,4.5,7.5,3,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873360,1056800
738,Matarraton,Arbol,Juvenil,0.46,0.33,0.11,0.11,0,0,1.4,5,3.6,4.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873346,1056800
739,Naranjo,Arbusto,Juvenil,0.63,0,0.09,0.09,0.25,0.29,1.8,5,3.2,5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873337,1056800
740,"Cerezo, Mirto, Azahar",Arbusto,Maduro,0.45,0,0.08,0.08,0.25,0.26,1,3,2,3,0,2,0,0,0,"Alto (67 - 100%)",Regular,873335,1056800
741,"Palma de coco",Palma,Juvenil,0.73,0.31,0.1,0.1,0,0,0.8,1.5,0.7,5,0,1,0,0,0,"Medio (34 - 66%)",Sano,873336,1056800
742,Aguacate,Arbol,Maduro,0.92,0,0.13,0.13,0.36,0.44,3,5.5,2.5,6,0,2,0,0,0,"Medio (34 - 66%)",Regular,873323,1056810
743,Mango,Arbol,Maduro,0.53,0,0.06,0.06,0.15,0.24,1.4,3.5,2.1,4,0,2,0,0,0,"Alto (67 - 100%)",Regular,873319,1056820
744,"Dracaena roja","Planta arbustiva",Juvenil,0.57,0,0.07,0.07,0.21,0.22,1.5,4.5,3,2,0,2,0,0,0,"Alto (67 - 100%)",Regular,873310,1056810
745,"Dracaena roja","Planta arbustiva",Juvenil,0.26,0.14,0.04,0.04,0,0,1.5,3,1.5,1,0,1,0,0,0,"Alto (67 - 100%)",Regular,873310,1056810
746,Almendro,Arbol,Maduro,0.6,0,0.09,0.09,0.25,0.32,1.8,4,2.2,6.5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873274,1056820
747,"Caucho goldmannii",Arbol,Maduro,0.36,0.26,0.08,0.08,0,0,2,6.5,4.5,9,0,1,0,0,0,"Medio (34 - 66%)",Sano,873289,1056810
748,"Acacia amarilla, Acacia siamea",Arbol,Maduro,3.41,1.61,0.51,0.51,0,0,7,17,10,11,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873197,1057090
749,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.91,1.51,0.48,0.48,0,0,7,15,8,10,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873201,1057090
750,"Acacia amarilla, Acacia siamea",Arbol,Maduro,0.54,0.36,0.11,0.11,0,0,3.5,5.5,2,2,0,1,0,0,0,"Bajo (0 - 33%)",Muerto,873202,1057090
751,"Acacia amarilla, Acacia siamea",Arbol,Maduro,0.61,0.42,0.13,0.13,0,0,5,9.5,4.5,5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873198,1057100
752,"Acacia amarilla, Acacia siamea",Arbol,Maduro,0.37,0.28,0.09,0.09,0,0,5,5.5,0.5,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873200,1057100
753,"Acacia amarilla, Acacia siamea",Arbol,Maduro,2.18,2.1,0.67,0.67,0,0,1.8,3,1.2,20,0,1,0,0,0,"Medio (34 - 66%)",Regular,873201,1057100
754,"Palma areca",Palma,Maduro,1.24,0,0.05,0.05,0.13,0.16,1.2,2.1,0.9,2.5,0,6,0,0,0,"Medio (34 - 66%)",Regular,873199,1057100
755,"Palma areca",Palma,Maduro,1.38,0,0.07,0.07,0.15,0.26,2.3,3.5,1.2,4.5,0,4,0,0,0,"Medio (34 - 66%)",Sano,873203,1057100
756,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.07,0.51,0.16,0.16,0,0,3,5,2,5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873205,1057110
757,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.11,0.78,0.25,0.25,0,0,3,9,6,8,0,1,0,0,0,"Medio (34 - 66%)",Regular,873203,1057110
758,"Acacia robinia",Arbol,Juvenil,0.55,0,0.1,0.1,0.29,0.31,1.6,4,2.4,9,0,2,0,0,0,"Alto (67 - 100%)",Regular,873205,1057110
759,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.02,0.74,0.24,0.24,0,0,6,12,6,20,0,1,0,0,0,"Medio (34 - 66%)",Regular,873204,1057110
760,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.48,1.2,0.38,0.38,0,0,6,13,7,16,0,1,0,0,0,"Medio (34 - 66%)",Regular,873205,1057120
761,"Acacia amarilla, Acacia siamea",Arbol,Maduro,1.5,1.27,0.4,0.4,0,0,2,14,12,18,0,1,0,0,0,"Medio (34 - 66%)",Regular,873202,1057120
762,Guacimo,Arbol,Maduro,1.57,0,0.21,0.21,0.59,0.71,1.7,9,7.3,15,0,3,0,0,0,"Alto (67 - 100%)",Regular,873201,1057120
763,"Acacia robinia",Arbol,Maduro,0.54,0,0.12,0.12,0.28,0.47,4.5,6,1.5,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873204,1057130
764,Guacimo,Arbol,Maduro,1.12,0.81,0.26,0.26,0,0,4.5,9.5,5,12,0,1,0,0,0,"Alto (67 - 100%)",Regular,873203,1057130
