id,nombre_comun,vegetacion,edad,pb,pap,dap,dap2,papdel,papgrueso,altura_fuste,altura_arbol,diferencia,diametro_copa,fuste,tallos,raiz,raiz_expuesta,copa,densidad_copa,vitalidad,norte,este
425,Aguacate,Arbol,Juvenil,0.65,0,0.09,0.09,0.24,0.32,2,4,2,5,0,3,0,0,0,"Alto (67 - 100%)",Regular,873288,1057280
426,Aguacate,Arbol,Maduro,0.65,0,0.11,0.11,0.3,0.4,1.6,4.5,2.9,6,0,2,0,0,0,"Alto (67 - 100%)",Regular,873284,1057280
427,"Dracena dereminsis","Planta arbustiva",Juvenil,0.48,0,0.05,0.05,0.14,0.15,1.1,2.3,1.2,1.5,0,2,0,0,0,"Bajo (0 - 33%)",Sano,873246,1057340
428,"Dracena dereminsis","Planta arbustiva",Juvenil,0.75,0,0.1,0.1,0.28,0.32,2,5,3,2,0,2,0,0,0,"Alto (67 - 100%)",Regular,873250,1057330
429,Aguacate,Arbol,Juvenil,0.5,0.45,0.14,0.14,0,0,2.5,7,4.5,4,0,1,0,0,0,"Alto (67 - 100%)",Regular,873250,1057340
430,Aguacate,Arbol,Maduro,0.13,0.12,0.04,0.04,0,0,1,2.3,1.3,1.5,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873251,1057340
431,Aguacate,Arbol,Maduro,0.37,0.32,0.1,0.1,0,0,1.6,5,3.4,4,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873252,1057340
432,Almendro,Arbol,Maduro,0.9,0,0.18,0.18,0.52,0.6,1.7,5,3.3,4,0,2,0,0,0,"Medio (34 - 66%)",Regular,873255,1057290
433,"Palma areca",Palma,Maduro,1.2,0,0.07,0.07,0.16,0.25,2,4,2,4,0,4,0,0,0,"Bajo (0 - 33%)",Sano,873254,1057290
434,"Palma areca",Palma,Maduro,2.15,0,0.07,0.07,0.17,0.3,2,4,2,5,0,6,0,0,0,"Bajo (0 - 33%)",Sano,873255,1057290
435,Almendro,Arbol,Juvenil,0.75,0.68,0.22,0.22,0,0,3,5,2,8,0,1,0,0,0,"Alto (67 - 100%)",Regular,873334,1057370
436,Aguacate,Arbol,Maduro,0.16,0.12,0.04,0.04,0,0,1.4,3,1.6,1.5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873360,1057360
437,"Pino romeron, Pino colombiano",Arbol,Juvenil,0.2,0.15,0.05,0.05,0,0,1.4,2.3,0.9,1.2,0,1,0,0,0,"Medio (34 - 66%)",Sano,873361,1057360
438,Aguacate,Arbol,Maduro,0.5,0.42,0.13,0.13,0,0,2,6,4,4,0,1,0,0,0,"Medio (34 - 66%)",Regular,873388,1057350
439,Guayabo,Arbusto,Maduro,0.22,0.2,0.06,0.06,0,0,1.9,3,1.1,3,0,1,0,0,0,"Bajo (0 - 33%)",Regular,873388,1057350
440,Mango,Arbol,Maduro,0.7,0,0.12,0.12,0.26,0.47,1.8,5,3.2,4,0,3,0,0,0,"Alto (67 - 100%)",Regular,873392,1057340
441,Mango,Arbol,Maduro,0.68,0,0.13,0.13,0.37,0.42,2,6,4,6,0,3,0,0,0,"Alto (67 - 100%)",Regular,873392,1057340
442,Mango,Arbol,Maduro,0.9,0.5,0.16,0.16,0,0,2.3,6,3.7,5,0,1,0,0,0,"Alto (67 - 100%)",Sano,873388,1057340
443,Naranjo,Arbusto,Maduro,0.16,0.13,0.04,0.04,0,0,1.2,2.5,1.3,1,0,1,0,0,0,"Medio (34 - 66%)",Regular,873390,1057340
444,"Limon swinglea, Swinglea",Arbol,Maduro,1,0,0.19,0.19,0.6,0.61,3,7,4,8,0,2,0,0,0,"Alto (67 - 100%)",Regular,873398,1057350
445,"Limon swinglea, Swinglea",Arbol,Maduro,0.62,0,0.14,0.14,0.4,0.48,3,7,4,7,0,2,0,0,0,"Medio (34 - 66%)",Regular,873400,1057360
446,Limon,Arbusto,Maduro,0.37,0,0.07,0.07,0.22,0.23,1.3,3.5,2.2,4,0,2,0,0,0,"Alto (67 - 100%)",Regular,873294,1057620
447,Guacimo,Arbol,Maduro,0.75,0,0.16,0.16,0.43,0.6,2,6,4,5,0,2,0,0,0,"Alto (67 - 100%)",Regular,873271,1057700
448,Leucaena,Arbol,Maduro,0.55,0.4,0.13,0.13,0,0,1.5,5,3.5,5,0,1,0,0,0,"Medio (34 - 66%)",Regular,873266,1057740
449,Chiminango,Arbol,Maduro,1.4,0,0.3,0.3,0.7,1.17,4,11,7,13,0,2,0,0,0,"Alto (67 - 100%)",Regular,873257,1057760
